RUTA;LUNES;MARTES ;MIERCOLES;JUEVES;VIERNES;TOTAL
1. Yoses;329.41;;;299.49;;628.9
2. Mercedes;;377.38;;;332.98;710.36
3. Barrio Pinto-Roosevelt;568.18;;;467.13; ;1035.31
5. Vargas Araya;417.76;;;289.7;;707.46
6. Cedral-Marsella;;454.19;;;357.37;811.56
7. San Pedro ;411.25;;;288.15;;699.4
8. Santa Marta;;406.17;;;319.85;726.02
9. Sabanilla;487.07;;;353.1;;840.17
10. Carmioles;;401.62;;;301.74;703.36
11. San Rafael;360.55;;;218.68;;579.23
12. Cedros;;454.15;;;331.99;786.14
13. San Rafael 2;;509.68;;;327.68;837.36
14. Desechos Comerciales;134.1;93.76;119.1;72.01;119.73;538.7
TOTAL;2708.32;2696.95;119.1;1988.26;2091.34;9603.97
